"id","abv","brewed_at_id","brewery_id","calories","description","ibu","img_url","mean_rating","name","num_ratings","overall_rating","retired","seasonal","beer_style_id","beer_style_rating","url"
1,4,,"4,110",120,"A gose style ale dry hopped with Nelson Sauvin, aged in oak barrels with citrus peel & coriander.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_296071.jpg",,De Garde Nelson Hose,50,99,false,,36,100,/beer/de-garde-nelson-hose/296071/
2,5.2,,"5,426",156,"You may have noticed by now we have a not-so-subtle obsession with a certain classic children's book-inspired-movie. It's a great film that's inspired us in many ways, including with this beer.    

We're quite fond of the Gose style, a traditional German sour beer that blends the subtle tartness of a Berliner weisse with the addition of kettle salts and coriander. We took it a step further and infused it with snozzberries... well, what we think they might taste like, anyway. 
 
We do hope you enjoy this Founders' Club exclusive release, and recommend that you share this good egg with friends.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_243929.jpg",4.15,Funky Buddha Founders Series  1: Veruca Snozzberry Gose,33,100,false,Series,36,100,/beer/funky-buddha-founders-series-1-veruca-snozzberry-gose/243929/
3,4.3,"3,898","12,491",129,"""It's no secret that we like to party, and sometimes it gets wild. So we took Westbrook's refreshing Gose and cranked up the volume a bit, adding a massive dose of Citra & Amarillo hops, then fermented it various strains of Brettanomyces...Go Westbrook, it's your birthday, get funky!!"" -Brian (Stillwater Artisanal)",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_266266.jpg",,Stillwater Gose Gone Wild,272,99,false,Special,36,100,/beer/stillwater-gose-gone-wild/266266/
5,11.5,,"13,032",345,"A strong dark lager brewed with a generous amount of wheat then aged in Heaven Hill (2005-2012; 2015) or Jim Beam (2014) Bourbon Barrels. Each batch is slightly different.
 
- Aug 2005 and Dec 2005: 12 months in the cask, approx. 16% ABV  
- Aug 2006 and Dec 2006: 8 or 11 months in the cask and 13% ABV  
- Aug 2007 and Dec 2007: 8 or 11 months in the cask and 11% ABV  
- Aug 2008: 14 months in the cask and 13% ABV  
- Aug 2011: 24 months in the cask and 12% ABV  
- Aug 2012: Grand Reserve blended casks aged 24 months and 12.5% ABV  
- Aug 2014: 12 months in the cask and 11.5% ABV  
- Aug 2015: Aged in Heaven Hill barrels; no ABV listed. 
 
Note: Earlier vintages may use the word ""Cask"" in place of ""Barrel"" on the label.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_49981.jpg",,The Livery Bourbon Barrel Aged Wheat Trippelbock,180,100,false,Special,73,100,/beer/the-livery-bourbon-barrel-aged-wheat-trippelbock/49981/
6,6.4,,"13,418",192,"Brewed with 30% wheat, this hoppy, golden American ale features Galaxy and Citra in the dry hop. Bright aromatics of overripe peach, orange rind, and green, herbal hops flood the nose while balanced flavors of tropical fruit, citrus, and creamy wheat excite the palate. Refreshingly light bodied with a soft, fluffy mouthfeel, Pier finishes dry with a slightly mineral bitterness. 
 
ABV: 6.4%
 
MALT: Pilsner, White Wheat, Flaked Wheat, Dextrine
 
HOPS: Galaxy, Citra, Columbus",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_289791.jpg",,Trillium Pier,71,99,false,Summer,32,100,/beer/trillium-pier/289791/
7,4,,"4,110",120,"A Gose style ale dry-hopped with Amarillo and Citra, aged in oak barrels with corriander & citrus peel.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_279585.jpg",,De Garde Hose,91,99,false,Special,36,100,/beer/de-garde-hose/279585/
8,11.5,,"13,032",345,"Our Wheat Trippelbock is now on tap. Seven different malts and two different hop varieties join together in a beer that must be experienced to be described.


New batch for 2010 is 11.5% ABV, earlier batches ranged from 11 to 13% ABV",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_53885.jpg",,The Livery Wheat Trippelbock,55,99,false,Winter,73,100,/beer/the-livery-wheat-trippelbock/53885/
9,5.2,,"4,110",156,"A Gose inspired ale, aged in oak barrels, then refermented on Oregon Apricots.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_355500.jpg",,De Garde Apricot Gose,50,99,false,,36,100,/beer/de-garde-apricot-gose/355500/
10,4,,"4,110",120,"A Gose style ale, aged in oak barrels and dry hopped with Citra.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_331164.jpg",,De Garde Citra Hose,40,99,false,,36,99,/beer/de-garde-citra-hose/331164/
11,7.2,,"9,329",216,"If you dream of wheat this brew will get your toes tapping. Since 1995 we have brewed Bavarian style wheat beers exclusively for the same great state that grows and malts our own Wisconsin wheat. In a world full of posers this is a true hefe-weizen naturally 100% bottle fermented and hazy. 

Expect this beer to cascade effervescent into your glass. The rich spicy clove and cinnamon notes will greet your nose while sweet fruit and wheat kisses your lips.  

Lick the foam from your mouth and admit sometimes you just gotta get up and dance.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_74630.jpg",,New Glarus Dancing Man Wheat,567,99,false,Summer,73,100,/beer/new-glarus-dancing-man-wheat/74630/
